genreCat,year,revenue
Drama,2012,8138788
Drama,2012,16800000
Drama,2012,5310554
Drama,2013,318982
Drama,2013,20275812
Drama,2013,76586316
Drama,2013,4037782
Drama,2013,17385830
Drama,2013,21587700
Drama,2013,95020213
Drama,2013,115922175
Drama,2013,10700000
Drama,2013,2861020
Drama,2013,100129872
Drama,2014,83719388
Drama,2014,28831145
Drama,2014,38307627
Drama,2014,88880821
Drama,2014,67800064
Drama,2014,43884652
Drama,2014,101332962
Drama,2014,30127963
Drama,2014,5000000
Drama,2014,21571189
Drama,2014,28883511
Drama,2014,53086
Drama,2014,78874843
Drama,2014,32251
Drama,2014,52501541
Drama,2014,13092000
Drama,2014,44349000
Drama,2014,2365467
Drama,2014,5284309
Drama,2015,187674
Drama,2015,4842699
Drama,2015,50363790
Drama,2015,36606743
Drama,2015,45710059
Drama,2015,61619773
Drama,2015,173567581
Drama,2016,94061311
Drama,2016,77000000
Drama,2016,15861566
Drama,2016,6490401
Drama,2016,23507567
Fantasy,1981,14110013
Fantasy,1996,115267375
Fantasy,2005,866999
Fantasy,2016,150680864
Fantasy,2016,299370084
History,2007,26527510
Horror,1968,30000000
Horror,1974,30859000
Horror,1980,21378361
Horror,1981,29400000
Horror,1982,122200000
Horror,1984,25504513
Horror,1985,29999213
Horror,1986,8025872
Horror,1987,28564027
Horror,1999,50041732
Horror,2000,53302314
Horror,2000,38574362
Horror,2003,16829545
Horror,2003,114908830
Horror,2005,68766121
Horror,2005,46770602
Horror,2005,152925093
Horror,2005,80578934
Horror,2007,35619521
Horror,2007,62771059
Horror,2009,39421467
Horror,2010,67918658
Horror,2011,205703818
Horror,2012,31081
Horror,2012,142817992
Horror,2012,95000
Horror,2013,97542952
Horror,2013,146497771
Horror,2013,44030246
Horror,2014,103590271
Horror,2014,36433975
Horror,2014,255273813
Horror,2015,187112
Horror,2015,52882018
Horror,2016,320170008
Music,2006,34742066
Music,2013,7972967
Romance,1978,181813770
Romance,2013,97594140
Romance,2013,46000000
Science Fiction,1968,2500000
Science Fiction,1980,27107960
Science Fiction,1986,4884663
Science Fiction,1998,13100000
Science Fiction,2000,60874615
Science Fiction,2000,96085477
Science Fiction,2009,210819611
Science Fiction,2010,66821036
Science Fiction,2010,11212294
Science Fiction,2011,22000
Science Fiction,2014,1500000
Science Fiction,2016,543934787
Thriller,1998,19870567
Thriller,2000,5217498
Thriller,2000,32168970
Thriller,2001,100020092
Thriller,2005,35294470
Thriller,2006,82800000
Thriller,2012,13551174
Thriller,2014,31554855
Thriller,2015,52425855
Thriller,2016,9930095
Thriller,2016,93282604
War,1989,26828365
War,2001,96976270
Western,1946,20400000
Western,1948,9012000
Western,1949,5400000
Western,1952,8000000
Western,1962,8000000
Western,1964,14500000
Western,1966,6000000
Western,1968,14741508
Western,1973,26700000
Western,1992,159157447
Western,2003,68296293
Western,2007,70016220
