genreCat,year,revenue
Horror,2012,142817992
Horror,2012,0
Comedy,2012,68267862
Comedy,2012,104907746
Comedy,2012,0
Documentary,2012,33400000
Documentary,2012,0
Comedy,2012,179379533
Comedy,2012,0
Comedy,2012,58058367
Adventure,2012,301000000
Thriller,2012,0
Comedy,2012,234989584
Drama,2012,16800000
Horror,2012,95000
Drama,2012,5310554
Horror,2013,0
Comedy,2013,151831537
Drama,2013,0
Drama,2013,318982
Comedy,2013,0
Comedy,2013,134402450
Drama,2013,0
Documentary,2013,0
Comedy,2013,0
Documentary,2013,0
Thriller,2013,0
Romance,2013,97594140
Comedy,2013,78378744
Drama,2013,20275812
Music,2013,7972967
Horror,2013,0
Comedy,2013,51164106
Drama,2013,76586316
Action,2013,0
Drama,2013,0
Horror,2013,97542952
Comedy,2013,71625195
Horror,2013,146497771
Drama,2013,4037782
Drama,2013,17385830
Comedy,2013,246984278
Drama,2013,0
Comedy,2013,0
Horror,2013,44030246
Documentary,2013,0
Comedy,2013,32438988
Comedy,2013,44000000
Drama,2013,21587700
Comedy,2013,44907260
Comedy,2013,7800000
Romance,2013,46000000
Thriller,2013,0
Comedy,2013,0
Drama,2013,95020213
Comedy,2013,173649015
Comedy,2013,22456509
Comedy,2013,27437881
Comedy,2013,48065672
Drama,2013,115922175
Drama,2013,10700000
Drama,2013,2861020
Drama,2013,0
Comedy,2013,21819348
Drama,2013,0
Drama,2013,100129872
Drama,2014,0
Comedy,2014,100525432
Documentary,2014,0
Horror,2014,0
Drama,2014,0
Comedy,2014,123494610
Drama,2014,83719388
Comedy,2014,107670357
Documentary,2014,0
Drama,2014,0
Comedy,2014,0
Family,2014,0
Drama,2014,0
Drama,2014,28831145
Documentary,2014,0
Drama,2014,38307627
Comedy,2014,126069509
Documentary,2014,0
Drama,2014,88880821
Drama,2014,67800064
Documentary,2014,0
Drama,2014,0
Thriller,2014,0
Comedy,2014,169837010
Comedy,2014,54837234
Drama,2014,43884652
Drama,2014,101332962
Horror,2014,103590271
Thriller,2014,0
Comedy,2014,0
Thriller,2014,31554855
Drama,2014,30127963
Drama,2014,0
Drama,2014,0
Comedy,2014,14348529
Drama,2014,5000000
Drama,2014,21571189
Drama,2014,28883511
Drama,2014,0
Drama,2014,53086
Action,2014,0
Science Fiction,2014,1500000
Drama,2014,0
Drama,2014,78874843
Drama,2014,32251
Horror,2014,36433975
Horror,2014,255273813
Drama,2014,52501541
Western,2014,0
Horror,2014,0
Drama,2014,0
Comedy,2014,268157400
Comedy,2014,0
Comedy,2014,45000
Drama,2014,0
Drama,2014,0
Animation,2014,0
Comedy,2014,10429707
Documentary,2014,0
Drama,2014,0
Drama,2014,13092000
Drama,2014,44349000
Drama,2014,2365467
Comedy,2014,136621271
Drama,2014,5284309
Drama,2014,0
Science Fiction,2015,0
Animation,2015,246233113
Drama,2015,0
Drama,2015,187674
Action,2015,0
