genreId,genreCat,month,day,year,revenue
18,Drama,10,24,2003,52277485
35,Comedy,10,24,2003,220673217
28,Action,9,11,2003,98185582
27,Horror,4,11,2003,16829545
35,Comedy,12,24,2003,190212113
35,Comedy,12,10,2003,33828318
18,Drama,2,9,2003,0
35,Comedy,9,5,2003,0
35,Comedy,6,13,2003,39267515
18,Drama,12,19,2003,16942795
35,Comedy,1,1,2003,0
18,Drama,8,1,2003,7266209
35,Comedy,3,7,2003,132675402
35,Comedy,8,22,2003,1675706
18,Drama,1,17,2003,62852
35,Comedy,2,21,2003,87055349
28,Action,3,14,2003,58795814
35,Comedy,8,3,2003,110230332
18,Drama,12,24,2003,173013509
27,Horror,3,14,2003,0
99,Documentary,4,23,2003,0
18,Drama,8,31,2003,119723856
35,Comedy,7,2,2003,124914842
27,Horror,8,15,2003,114908830
35,Comedy,3,27,2003,0
12,Adventure,11,14,2003,212011111
35,Comedy,1,9,2003,101564935
37,Western,8,29,2003,68296293
18,Drama,5,20,2003,0
35,Comedy,12,3,2004,28818995
35,Comedy,6,23,2004,113086475
35,Comedy,2,24,2004,14000000
18,Drama,9,3,2004,38535221
99,Documentary,4,23,2004,10000000
35,Comedy,4,16,2004,11341016
18,Drama,9,11,2004,0
35,Comedy,4,30,2004,0
18,Drama,2,25,2004,611899420
99,Documentary,6,25,2004,119114517
18,Drama,12,17,2004,102000000
35,Comedy,6,18,2004,167722310
18,Drama,9,30,2004,6804016
35,Comedy,2,17,2004,29331068
12,Adventure,3,28,2004,0
28,Action,1,21,2004,0
18,Drama,1,30,2004,0
18,Drama,9,1,2004,0
18,Drama,12,15,2004,216763646
99,Documentary,12,5,2004,0
18,Drama,3,17,2004,0
35,Comedy,2,20,2004,20796847
99,Documentary,7,9,2004,3166000
28,Action,1,16,2004,46546197
35,Comedy,7,9,2004,90574188
35,Comedy,1,9,2004,51
18,Drama,9,24,2004,0
18,Drama,10,17,2004,116766556
18,Drama,7,2,2004,0
18,Drama,4,11,2004,0
18,Drama,9,4,2004,0
35,Comedy,10,22,2004,13395939
35,Comedy,5,1,2004,0
35,Comedy,4,30,2004,129042871
35,Comedy,7,10,2004,70067909
35,Comedy,4,9,2004,30411183
35,Comedy,12,17,2004,55041367
35,Comedy,6,11,2004,46118097
18,Drama,1,13,2004,98410061
18,Drama,8,27,2004,0
18,Drama,4,30,2004,0
18,Drama,10,26,2004,0
27,Horror,4,30,2005,68766121
18,Drama,6,3,2005,13411957
99,Documentary,9,3,2005,0
18,Drama,10,25,2005,2019009
35,Comedy,4,22,2005,42886719
18,Drama,1,14,2005,76669806
18,Drama,10,12,2005,0
18,Drama,6,6,2005,27610873
35,Comedy,1,13,2005,0
18,Drama,5,16,2005,674918
99,Documentary,7,22,2005,1750211
99,Documentary,11,4,2005,0
28,Action,7,28,2005,76932943
18,Drama,3,25,2005,712294
18,Drama,11,9,2005,46442528
35,Comedy,12,21,2005,202026112
35,Comedy,10,7,2005,18637690
18,Drama,2,12,2005,25224242
53,Thriller,1,19,2005,35294470
18,Drama,9,9,2005,18618284
35,Comedy,1,6,2005,93772522
27,Horror,6,24,2005,46770602
27,Horror,10,28,2005,152925093
99,Documentary,1,28,2005,0
18,Drama,7,22,2005,23563727
53,Thriller,9,16,2005,0
35,Comedy,3,4,2005,0
14,Fantasy,1,25,2005,866999
18,Drama,1,1,2005,0
35,Comedy,12,21,2005,129181830
18,Drama,5,13,2005,0
18,Drama,12,23,2005,13350369
35,Comedy,8,6,2005,22400154
18,Drama,8,17,2005,0
99,Documentary,1,15,2005,0
99,Documentary,8,5,2005,0
18,Drama,10,21,2005,2025032
27,Horror,1,6,2005,80578934
35,Comedy,1,6,2006,6538177
35,Comedy,8,4,2006,162966177
18,Drama,9,15,2006,49111202
99,Documentary,6,26,2006,0
18,Drama,9,29,2006,10178331
18,Drama,2,22,2006,639000
18,Drama,9,10,2006,0
35,Comedy,5,12,2006,0
18,Drama,10,12,2006,0
18,Drama,12,12,2006,43545364
18,Drama,4,24,2006,0
18,Drama,4,28,2006,18948425
18,Drama,9,1,2006,48027970
18,Drama,9,2,2006,20138836
35,Comedy,3,10,2006,88715192
53,Thriller,2,10,2006,82800000
18,Drama,9,8,2006,622806
18,Drama,7,21,2006,0
27,Horror,8,8,2006,0
18,Drama,12,29,2006,0
35,Comedy,9,15,2006,0
18,Drama,1,26,2006,11502151
35,Comedy,5,25,2006,26888376
18,Drama,12,14,2006,307077295
18,Drama,12,25,2006,154937680
10749,Romance,12,7,2006,0
35,Comedy,1,1,2006,0
99,Documentary,9,9,2006,25
35,Comedy,4,13,2006,178262620
18,Drama,11,16,2006,1151330
99,Documentary,1,1,2006,0
10751,Family,2,24,2006,0
10402,Music,3,17,2006,34742066
28,Action,9,1,2006,23321954
18,Drama,9,8,2006,135330182
18,Drama,10,13,2006,13391174
18,Drama,6,5,2006,0
18,Drama,12,8,2006,10903846
99,Documentary,1,1,2006,0
35,Comedy,8,25,2006,19179969
35,Comedy,11,1,2006,261572744
99,Documentary,10,18,2006,0
35,Comedy,4,7,2006,0
35,Comedy,3,24,2006,0
18,Drama,10,27,2006,0
18,Drama,3,31,2006,21170563
27,Horror,10,6,2006,0
18,Drama,1,13,2006,42647449
18,Drama,8,11,2006,4911725
99,Documentary,1,24,2006,46243000
18,Drama,12,20,2006,155721132
99,Documentary,8,4,2006,1678874
35,Comedy,2,17,2006,48548426
18,Drama,9,15,2006,123384128
18,Drama,10,20,2006,21000000
18,Drama,1,1,2006,0
99,Documentary,7,27,2007,1431623
35,Comedy,3,3,2007,0
35,Comedy,8,17,2007,121463226
99,Documentary,4,30,2007,274661
35,Comedy,3,1,2007,0
36,History,9,20,2007,26527510
18,Drama,9,26,2007,8159508
18,Drama,8,24,2007,71904
18,Drama,12,27,2007,30226144
18,Drama,5,22,2007,19777647
18,Drama,2,9,2007,0
37,Western,9,6,2007,70016220
35,Comedy,7,27,2007,0
99,Documentary,9,27,2007,0
99,Documentary,1,19,2007,0
35,Comedy,9,21,2007,13620075
99,Documentary,6,15,2007,0
18,Drama,10,5,2007,92
18,Drama,8,5,2007,0
35,Comedy,8,3,2007,0
27,Horror,6,8,2007,35619521
18,Drama,9,26,2007,2849142
35,Comedy,4,1,2007,0
18,Drama,12,28,2007,77208711
53,Thriller,4,27,2007,0
18,Drama,3,23,2007,22222308
18,Drama,11,2,2007,0
35,Comedy,7,25,2007,92601050
18,Drama,6,14,2007,0
18,Drama,10,14,2007,73276047
35,Comedy,7,4,2007,69307224
27,Horror,1,1,2007,0
35,Comedy,9,7,2007,0
18,Drama,8,24,2007,1185783
18,Drama,1,19,2007,0
18,Drama,11,16,2007,0
99,Documentary,5,18,2007,24538513
35,Comedy,1,21,2007,0
35,Comedy,2,2,2007,69485490
18,Drama,6,1,2007,2955039
35,Comedy,5,25,2007,22179430
27,Horror,4,5,2007,62771059
18,Drama,5,18,2007,0
18,Drama,11,21,2007,66122026
35,Comedy,1,1,2007,0
35,Comedy,9,5,2008,69497
18,Drama,9,26,2008,33456317
35,Comedy,8,28,2008,6230276
18,Drama,12,11,2008,0
35,Comedy,4,23,2008,63833449
99,Documentary,2,15,2008,7518876
35,Comedy,12,9,2008,225990978
35,Comedy,1,9,2008,53191886
18,Drama,9,24,2008,28814580
12,Adventure,9,17,2008,38105395
18,Drama,7,3,2008,2899975
35,Comedy,9,18,2008,42105111
35,Comedy,2,28,2008,33472850
35,Comedy,7,25,2008,128107642
18,Drama,10,24,2008,0
18,Drama,6,20,2008,0
99,Documentary,2,12,2008,0
35,Comedy,2,3,2008,92380927
18,Drama,11,5,2008,382174
18,Drama,9,7,2008,0
27,Horror,1,1,2008,0
18,Drama,11,18,2008,49554002
18,Drama,12,9,2008,269958228
35,Comedy,1,24,2008,84646831
35,Comedy,2,1,2008,6575282
18,Drama,1,25,2008,0
18,Drama,12,18,2008,168167691
18,Drama,1,22,2008,32483410
10402,Music,10,21,2008,0
28,Action,10,15,2008,85416905
18,Drama,4,7,2008,0
35,Comedy,12,5,2008,0
18,Drama,3,20,2008,23311391
35,Comedy,3,20,2008,0
18,Drama,2,28,2008,0
18,Drama,5,22,2008,0
18,Drama,10,10,2008,9793496
35,Comedy,2,1,2008,0
18,Drama,4,24,2008,0
18,Drama,10,3,2008,0
99,Documentary,10,10,2008,0
18,Drama,8,1,2008,0
99,Documentary,9,7,2008,0
35,Comedy,3,20,2009,91636986
18,Drama,11,6,2009,47536959
18,Drama,12,4,2009,0
18,Drama,6,1,2009,110197
35,Comedy,3,11,2009,136267476
35,Comedy,10,16,2009,9069
28,Action,4,17,2009,87784194
18,Drama,1,17,2009,0
18,Drama,4,24,2009,31720158
35,Comedy,4,3,2009,17164377
27,Horror,1,1,2009,0
18,Drama,1,1,2009,0
99,Documentary,9,6,2009,17436509
27,Horror,10,16,2009,0
35,Comedy,8,14,2009,0
18,Drama,6,26,2009,95714875
35,Comedy,1,9,2009,114663461
18,Drama,2,7,2009,0
35,Comedy,6,5,2009,459270619
